2020-12-07 01:09:17,125    A0  14
2020-12-07 01:09:17,326    A1  14
2020-12-07 01:09:17,526    A2  86
2020-12-07 01:09:17,727    A3  13
2020-12-07 01:09:17,928    A4  37
2020-12-07 01:09:18,128    A0  13
2020-12-07 01:09:18,329    A1  14
2020-12-07 01:09:18,530    A2  86
2020-12-07 01:09:18,730    A3  14
2020-12-07 01:09:18,931    A4  36
2020-12-07 01:09:19,132    A0  13
2020-12-07 01:09:19,333    A1  14
2020-12-07 01:09:19,533    A2  88
2020-12-07 01:09:19,734    A3  13
2020-12-07 01:09:19,935    A4  37
2020-12-07 01:09:20,135    A0  14
2020-12-07 01:09:20,336    A1  14
2020-12-07 01:09:20,537    A2  88
2020-12-07 01:09:20,737    A3  14
2020-12-07 01:09:20,938    A4  37
2020-12-07 01:09:21,139    A0  14
2020-12-07 01:09:21,339    A1  15
2020-12-07 01:09:21,540    A2  90
2020-12-07 01:09:21,741    A3  14
2020-12-07 01:09:21,941    A4  38
2020-12-07 01:09:22,142    A0  16
2020-12-07 01:09:22,343    A1  15
2020-12-07 01:09:22,543    A2  92
2020-12-07 01:09:22,744    A3  15
2020-12-07 01:09:22,945    A4  40
2020-12-07 01:09:23,145    A0  16
2020-12-07 01:09:23,346    A1  15
2020-12-07 01:09:23,547    A2  94
2020-12-07 01:09:23,747    A3  15
2020-12-07 01:09:23,948    A4  40
2020-12-07 01:09:24,149    A0  15
2020-12-07 01:09:24,350    A1  16
2020-12-07 01:09:24,550    A2  94
2020-12-07 01:09:24,751    A3  16
2020-12-07 01:09:24,952    A4  41
2020-12-07 01:09:25,152    A0  16
2020-12-07 01:09:25,353    A1  16
2020-12-07 01:09:25,554    A2  95
2020-12-07 01:09:25,754    A3  16
2020-12-07 01:09:25,955    A4  42
2020-12-07 01:09:26,156    A0  17
2020-12-07 01:09:26,356    A1  16
2020-12-07 01:09:26,557    A2  95
2020-12-07 01:09:26,758    A3  15
2020-12-07 01:09:26,958    A4  41
2020-12-07 01:09:27,159    A0  187
2020-12-07 01:09:27,360    A1  17
2020-12-07 01:09:27,561    A2  97
2020-12-07 01:09:27,761    A3  16
2020-12-07 01:09:27,962    A4  41
2020-12-07 01:09:28,163    A0  182
2020-12-07 01:09:28,363    A1  18
2020-12-07 01:09:28,564    A2  96
2020-12-07 01:09:28,765    A3  15
2020-12-07 01:09:28,965    A4  41
2020-12-07 01:09:29,166    A0  179
2020-12-07 01:09:29,367    A1  18
2020-12-07 01:09:29,567    A2  96
2020-12-07 01:09:29,768    A3  15
