Date,Time,Sid,value
2020-07-28,"12:23:58,063",A2,0.0
2020-07-28,"12:23:58,071",A3,0.0
2020-07-28,"12:23:58,079",A4,0.0
2020-07-28,"12:23:59,050",A0,0.0
2020-07-28,"12:23:59,058",A1,0.0
2020-07-28,"12:23:59,067",A2,0.0
2020-07-28,"12:23:59,071",A3,0.0
2020-07-28,"12:23:59,079",A4,0.0
2020-07-28,"12:24:00,054",A0,0.0
2020-07-28,"12:24:00,062",A1,0.0
2020-07-28,"12:24:00,066",A2,0.0
2020-07-28,"12:24:00,074",A3,0.0
2020-07-28,"12:24:00,082",A4,0.0
2020-07-28,"12:24:01,053",A0,0.0
2020-07-28,"12:24:01,061",A1,0.0
2020-07-28,"12:24:01,069",A2,0.0
2020-07-28,"12:24:01,078",A3,0.0
2020-07-28,"12:24:01,086",A4,0.0
2020-07-28,"12:24:02,057",A0,0.0
2020-07-28,"12:24:02,065",A1,0.0
2020-07-28,"12:24:02,073",A2,0.0
2020-07-28,"12:24:02,077",A3,0.0
2020-07-28,"12:24:02,085",A4,0.0
2020-07-28,"12:24:03,060",A0,0.0
2020-07-28,"12:24:03,064",A1,0.0
2020-07-28,"12:24:03,072",A2,0.0
2020-07-28,"12:24:03,080",A3,0.0
2020-07-28,"12:24:03,089",A4,0.0
2020-07-28,"12:24:04,060",A0,0.0
2020-07-28,"12:24:04,068",A1,0.0
2020-07-28,"12:24:04,076",A2,0.0
2020-07-28,"12:24:04,084",A3,0.0
2020-07-28,"12:24:04,088",A4,0.0
2020-07-28,"12:24:05,063",A0,0.0
2020-07-28,"12:24:05,071",A1,0.0
2020-07-28,"12:24:05,079",A2,0.0
2020-07-28,"12:24:05,083",A3,0.0
2020-07-28,"12:24:05,092",A4,0.0
2020-07-28,"12:24:06,066",A0,0.0
2020-07-28,"12:24:06,070",A1,0.0
2020-07-28,"12:24:06,079",A2,0.0
2020-07-28,"12:24:06,087",A3,0.0
2020-07-28,"12:24:06,095",A4,0.0
2020-07-28,"12:24:07,066",A0,0.0
