Date,Time,Velocity_X,Velocity_Y,Clicks,R_Clicks,L_Clicks,M_Clicks,All_keys_N,Arrow_keys_N,Spaces_N,Shft_Ctrl_Alt_N,M_A0,STD_A0,M_A1,STD_A1,M_A2,STD_A2,M_A3,STD_A3,M_A4,STD_A4,Label
2021-02-10,01:56:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,01:56:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,01:56:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,01:57:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,01:57:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,01:57:22,7.3123595505618,4.85393258426966,0,0,0,0,0,0,0,0,4.2,7.09929573971954,4.1,6.88718616949864,14.9,29.2211871384066,26.9,44.1372858250255,10.7,18.6312163377011,1
2021-02-10,01:57:32,0,0,0,0,0,0,0.5,0,0.1,0,9.9,0.875595035770913,10,0.666666666666667,9.9,0.994428926011753,87.3,2.79085809185793,31.7,2.49666444147653,1
2021-02-10,01:57:42,0,0,0,0,0,0,1,0,0.6,0,88.1,84.247584864823,84.1,91.8579216931114,26.1,38.6622123871186,92.7,0.823272602348565,35,0.666666666666667,1
2021-02-10,01:57:52,0,0,0,0,0,0,2.7,0,1.2,0,10.7,0.948683298050514,11.4,0.699205898780101,45.3,55.4778233971818,95.1,4.28044649799787,36,0.942809041582063,1
2021-02-10,01:58:02,0,0,0,0,0,0,3.1,0,2.2,0,11.4444444444444,0.52704627669473,11.4444444444444,0.52704627669473,11.6666666666667,0.5,95.1111111111111,1.16666666666667,36.7777777777778,0.440958551844098,1
,01:58:12,0,0,0,0,0,0,3.1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
,01:58:22,0,0,0,0,0,0,3.1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
,01:58:32,0,0,0,0,0,0,3.1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
,01:58:42,0,0,0,0,0,0,3.1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
,01:58:52,0,0,0,0,0,0,3.1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
,01:59:02,0,0,0,0,0,0,3.1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
,01:59:12,0,0,0,0,0,0,3.1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
,01:59:22,0,0,0,0,0,0,3.1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
,01:59:32,0,0,0,0,0,0,3.1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-10,02:01:35,0,0,0,0,0,0,0,0,0,0,182.222222222222,68.0602265970695,27.2222222222222,1.98606254796883,126.777777777778,3.45607355888795,94.6666666666667,16.2864974749023,33.1111111111111,4.7551142058957,3
2021-02-10,02:01:45,0,0,0,0,0,0,0,0,0,0,18.5,7.15308791129165,87.1,84.3016409488372,74,59.3595447721389,79.2,38.1395099892778,51.2,23.51736946741,3
2021-02-10,02:01:55,13.2264150943396,3.0188679245283,0.2,0,0,0,0.1,0,0.2,0,18.3,0.948683298050514,18.7,1.05934990547138,152.6,6.31048510197292,99.7,0.823272602348565,63.5,3.13581462037113,0
2021-02-10,02:02:05,0,0,0.2,0,0,0,1.2,0,0.7,0,18.4,0.843274042711568,18.9,0.994428926011753,92.1,53.0815933780775,100,5.67646212197547,64.9,1.91195071996,0
2021-02-10,02:02:15,0,0,0.2,0,0,0,1.7,0,1,0,19.3,1.05934990547138,19.9,0.316227766016838,54.2,1.54919333848297,99.1,0.737864787372622,73.5,16.6149196674421,0
2021-02-10,02:02:25,0,0,0.2,0,0,0,2.2,0,1.1,0,20,3.29983164553722,55.7,76.888158313806,53.6,2.17050941281329,97.5,1.17851130197758,67.9,0.567646212197547,0
2021-02-10,02:02:35,3.32225913621262,4.58803986710964,0.6,0,0,0,2.2,0,1.1,0,19.3,0.823272602348565,70.7,83.7297902647426,131.1,39.9845803612676,98.6,1.57762127549323,70.4,1.07496769977314,2
2021-02-10,02:02:45,1.4307992202729,2.65302144249513,0.8,0,0,0,2.4,0,1.1,0,80,24.7521042876493,23.6,4.42718872423573,79.3,9.86632882304479,87,3.46410161513775,54.4,15.7141125531585,2
2021-02-10,02:02:55,4.6418152350081,3.23176661264182,1.2,0,0,0,2.4,0,1.1,0,134,68.1273317643758,27,0.666666666666667,90.6,0.966091783079296,93.2,1.03279555898864,57.7,0.948683298050514,2
2021-02-10,02:09:53,4.42063492063492,1.38095238095238,0.2,0,0,0,0.1,0,0.4,0,94.7777777777778,0.833333333333333,9.66666666666667,0.5,9.66666666666667,0.5,26.1111111111111,1.76383420737639,33.4444444444444,21.060099187273,1
2021-02-10,02:10:03,0,0,0.2,0,0,0,0.2,0,1,0,177.2,68.8247371549245,17,7.34846922834953,34.9,47.7201331841301,25.6,2.01108041719978,10.2,0.632455532033676,1
2021-02-10,02:10:13,0,0,0.2,0,0,0,0.9,0,2,0,97.9,0.875595035770913,9.9,0.737864787372622,8.9,1.79195734076208,26.9,9.38616002420585,11.2,4.44222166638872,1
2021-02-10,02:10:23,0,0,0.2,0,0,0,1.2,0,2.7,0,191.9,65.7257771180971,67.7,83.6806761179399,13.1,9.18271322770249,26.1,0.567646212197547,10.4,0.516397779494322,1
2021-02-10,02:10:33,0,0,0.2,0,0,0,1.2,0,3.6,0,98,0.942809041582063,26.3,55.4638020093586,36.2,51.21588295311,32.4,12.084884957849,12.5,4.97214463005877,1
2021-02-10,02:10:43,10.667215815486,3.10708401976936,0.8,0,0,0,1.3,0,3.6,0,155.4,66.9032468901506,10.4,0.699205898780101,10.3,0.674948557710553,12.4,6.56928881657334,9.5,0.97182531580755,2
2021-02-10,02:10:53,12.5398089171975,2.65923566878981,1.2,0,0,0,1.4,0,3.6,0,175.1,64.924657189015,105.4,87.4988253889413,11.5,0.97182531580755,10.2,0.632455532033676,10.4,0.516397779494322,2
2021-02-10,02:11:03,7.24961240310078,2.42325581395349,2.7,0,0,0,1.4,0,3.7,0,125.8,1.75119007154183,189.2,2.29975844142138,12.3,0.948683298050514,10.7,0.674948557710553,10.2,0.918936583472682,2
2021-02-10,02:11:13,7.40655737704918,2.0655737704918,3.4,0,0,0,1.7,0,3.8,0,128.3,0.674948557710553,190.2,2.48551358430763,12.6,0.699205898780101,11.1,0.567646212197547,10.8,0.788810637746616,2
2021-02-10,02:15:30,11.9444444444444,7.30952380952381,0,0,0,0,0,0,0,0,28,51.8459255872629,3,5.55492059863531,64.5,70.0061221812574,2.75,5.09201054874903,6.75,7.45941399460153,3
2021-02-10,02:15:40,0.5,0.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-02-10,02:15:50,7.2836676217765,2.34097421203438,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-02-10,02:16:00,5.24899598393574,2.8574297188755,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-02-10,02:16:10,7.97959183673469,5.5374149659864,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-02-10,02:16:20,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,02:16:30,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,02:16:40,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,02:16:50,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,02:22:56,8.40833333333333,4.46666666666667,0.2,0,0,0,0.4,0,0.1,0,173.1,67.2382992712404,20.5,5.54276304943863,18.2,0.632455532033676,77.9,2.46981780704569,34.2,1.47572957474524,0
2021-02-10,02:23:06,4.42339832869081,1.93036211699164,0.6,0,0,0,1.6,0,0.5,0,122.7,53.6781561200126,25.1,7.34014834848573,68.3,60.6447762704166,80.6,1.07496769977314,36.4,0.966091783079296,0
2021-02-10,02:23:16,0,0,0.6,0,0,0,2.4,0,0.7,0,99.6,0.966091783079296,20.5,1.95789002074512,19.5,2.99072640748773,86.8,6.23253114267746,45.2,18.9197134110312,0
2021-02-10,02:23:26,0,0,0.6,0,0,0,3.3,0,0.8,0,99.4,1.26491106406735,20,1.4142135623731,19.5,1.71593835683117,85.3,1.76698110409314,39,1.88561808316413,0
2021-02-10,02:23:36,4.9041095890411,3.25570776255708,1.8,0,0,0,4.6,0,0.8,0,216.6,40.7681793123564,25,7.71722460186015,19.6,0.843274042711568,85.3,1.25166555703457,38.7,1.33749350984926,0
2021-02-10,02:23:46,6.55111111111111,4.44444444444445,2.4,0,0,0,5,0,1.2,0,99.4,2.22111083319436,21.5,5.52268050859363,75.8,62.073075215158,86.4,0.966091783079296,39.9,0.737864787372622,2
2021-02-10,02:23:56,5.59033613445378,1.85504201680672,2.9,0,0,0,5.1,0,1.2,0,66.9,46.5151110452889,12.4,8.68203765125318,81.8,68.9827675743893,59.3,40.3265834572349,26.1,15.4448840864684,2
2021-02-10,02:24:06,2.90948275862069,1.59051724137931,3.2,0,0,0,5.1,0,1.2,0,0,0,0,0,0,0,8.6,1.26491106406735,0,0,2
2021-02-10,02:24:16,2.10176991150443,1.52654867256637,3.6,0,0,0,5.2,0,1.2,0,0.4,0.516397779494322,0.5,0.707106781186548,0.6,0.699205898780101,21.2,6.74619234169254,0.9,0.875595035770913,2
2021-02-10,02:28:46,4.62536873156342,1.10324483775811,0.2,0,0,0,0,0,0,0,92.3333333333333,97.0360757656657,97.5555555555556,85.2615257767405,96.4444444444444,25.2344561617202,85.7777777777778,7.20724943681322,37.4444444444444,5.93950989373515,2
2021-02-10,02:28:56,2.20134228187919,0.288590604026846,0.2,0,0,0,0,0,0,0,218.2,2.29975844142138,41.7,9.74166310236604,80.2,0.918936583472682,104.3,1.82878222991269,50.3,0.948683298050514,2
2021-02-10,02:29:06,0,0.166666666666667,0.2,0,0,0,0,0,0,0,92.5,100.385091854651,10.2,10.7165500252854,28.8,34.489289802939,38.8,50.5696439466296,15.7,21.468581695119,4
2021-02-10,02:29:16,0,0,0.2,0,0,0,0,0,0,0,6,18.9736659610103,1.8,5.69209978830308,0,0,0,0,0,0,4
2021-02-10,02:29:26,0,0,0.2,0,0,0,0,0,0,0,0.1,0.316227766016838,0,0,0,0,0,0,0,0,4
2021-02-10,02:29:36,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,02:29:46,7.74429223744292,5.4337899543379,0.4,0,0,0,0.4,0,0,0,12.7,22.9833272903062,30.1,66.1571361734066,40,42.3110177403265,22.7,24.3358446192717,10.3,11.116054455906,0
2021-02-10,02:29:56,0,0,0.4,0,0,0,1.5,0,0.4,0,14.1,0.737864787372622,238.3,10.5730264772623,118,12.2836838484589,44.8,3.61478445646026,19.2,1.13529242439509,0
2021-02-10,02:30:06,4.56188118811881,1.47277227722772,0.8,0,0,0,2.2,0,0.5,0,15.5,0.849836585598797,250.4,4.00555170287995,123.2,1.75119007154183,49.5,3.13581462037113,21.2,1.54919333848297,0
2021-02-10,02:33:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021-02-10,02:33:20,0.125,2.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-02-10,02:33:30,5.68595041322314,4.45867768595041,0,0,0,0,0,0,0,0,6.8,4.87168690838536,6.7,4.96767327606977,8.9,8.90006242175363,56,41.0582242404342,18.1,17.1363810518894,3
2021-02-10,02:33:40,0,0,0,0,0,0,0,0,0,0,6.4,3.74759181934805,6.8,3.8528488738133,6.9,3.63470921960906,71.4,33.7118508671489,12.3,6.18331087147762,3
