Date,Time,Velocity_X,Velocity_Y,Clicks,R_Clicks,L_Clicks,M_Clicks,All_keys_N,Arrow_keys_N,Spaces_N,Shft_Ctrl_Alt_N,M_A0,STD_A0,M_A1,STD_A1,M_A2,STD_A2,M_A3,STD_A3,M_A4,STD_A4,Label
2021-02-10,23:09:07,6.475095785440613,4.3869731800766285,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.6666666666666665,1.8027756377319946,2.888888888888889,2.088327347690278,3.2222222222222223,2.048034287907418,46.0,18.76166303929372,8.222222222222221,3.8333333333333335,2
2021-02-10,23:09:17,0.07929515418502203,0.45374449339207046,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3.0,1.4142135623730951,2.9,1.5238839267549948,3.3,1.4181364924121764,46.3,9.944847912361455,8.3,2.406010991015812,2
2021-02-10,23:09:27,0.41935483870967744,7.639296187683285,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,4.1,0.7378647873726218,4.0,0.816496580927726,4.1,0.8755950357709131,60.7,8.152027695951208,10.2,2.573367875415838,2
2021-02-10,23:09:37,1.16903073286052,0.7754137115839244,1.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,5.6,0.6992058987801011,6.0,0.4714045207910317,6.3,0.48304589153964794,79.0,2.0,11.0,0.6666666666666666,2
2021-02-10,23:09:47,1.5994694960212201,1.6976127320954908,1.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,6.5,0.7071067811865476,6.8,0.4216370213557839,6.6,0.9660917830792959,83.4,1.3498971154211057,11.7,0.48304589153964794,2
2021-02-10,23:09:57,0.2857142857142857,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,3.7,3.2335051500740732,4.0,3.496029493900505,4.4,3.8355066303046734,51.4,37.298197752110696,11.1,8.143845665422585,3
2021-02-10,23:10:07,10.390134529147982,9.784753363228699,1.2,0.0,0.0,0.0,0.1,0.0,0.3,0.0,3.0,2.6666666666666665,3.0,2.211083193570267,3.0,2.70801280154532,41.3,18.577465441287252,11.9,7.046669820245274,3
2021-02-10,23:10:17,10.3616,7.7088,1.6,0.0,0.0,0.0,0.3,0.0,0.3,0.0,7.2,1.6193277068654826,8.0,1.4907119849998598,7.5,1.7159383568311668,85.9,7.964504588066563,19.3,2.6687491868330793,3
2021-02-10,23:10:27,1.058968058968059,0.769041769041769,1.6,0.0,0.0,0.0,0.7,0.0,0.3,0.0,6.5,1.9578900207451218,7.3,2.0027758514399734,7.5,1.4337208778404378,81.4,13.226236552146394,20.4,1.776388345929897,3
