Date,Time,Velocity_X,Velocity_Y,Clicks,R_Clicks,L_Clicks,M_Clicks,All_keys_N,Arrow_keys_N,Spaces_N,Shft_Ctrl_Alt_N,M_A0,STD_A0,M_A1,STD_A1,M_A2,STD_A2,M_A3,STD_A3,M_A4,STD_A4,Label
2021-02-10,22:18:03,6.2578616352201255,8.047169811320755,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.5773502691896257,22.0,0.0,68.25,0.9574271077563381,102.5,1.9148542155126762,60.0,4.618802153517006,2
2021-02-10,22:18:08,3.636015325670498,3.260536398467433,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.708203932499369,21.6,0.5477225575051661,64.8,4.494441010848846,102.4,2.792848008753788,62.8,2.6832815729997477,2
2021-02-10,22:18:13,5.125,0.765625,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.745368781616021,22.2,6.685805860178712,51.2,2.949576240750525,104.6,1.140175425099138,54.8,0.8366600265340756,2
2021-02-10,22:18:18,2.4776119402985075,2.8208955223880596,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,1.7888543819998317,217.6,4.505552130427524,55.2,0.8366600265340756,107.4,0.8944271909999159,56.4,0.8944271909999159,2
2021-02-10,22:18:23,2.2090592334494774,2.700348432055749,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.0954451150103321,220.8,0.8366600265340756,57.6,0.5477225575051661,109.0,0.7071067811865476,57.4,0.8944271909999159,2
2021-02-10,22:18:28,3.3461538461538463,0.3076923076923077,2.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,14.8,1.0954451150103321,221.4,1.140175425099138,59.8,0.8366600265340756,109.6,0.8944271909999159,59.2,0.8366600265340756,2
2021-02-10,22:18:33,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.4,0.5477225575051661,217.4,9.016651263079881,57.4,24.5010203869145,92.4,18.676188047886004,58.8,1.3038404810405297,2
2021-02-10,22:18:38,0.46153846153846156,0.7307692307692307,2.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,4.6,5.9833101206606365,41.2,91.01208710935049,38.2,54.020366529671016,28.0,19.222382786741086,21.8,17.683325479106017,2
2021-02-10,22:18:43,2.5876623376623376,3.227272727272727,2.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,11.6,3.714835124201342,11.6,3.714835124201342,35.0,6.2048368229954285,62.0,22.825424421026653,40.4,9.607288899580361,2
2021-02-10,22:18:48,0.2786885245901639,0.9344262295081968,2.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.8,0.8366600265340756,15.0,1.0,35.2,2.588435821108957,87.4,2.073644135332772,47.4,1.3416407864998738,2
2021-02-10,22:18:53,0.0,0.0,2.4,0.0,0.0,0.0,3.6,0.0,0.0,0.0,14.4,2.073644135332772,18.6,5.813776741499453,37.6,0.5477225575051661,92.2,0.8366600265340756,49.2,0.8366600265340756,2
2021-02-10,22:18:58,0.0,0.0,2.4,0.0,0.0,0.0,4.6,0.0,0.0,0.0,16.0,0.7071067811865476,16.4,0.8944271909999159,120.0,47.38670699679394,95.2,1.0954451150103321,50.0,1.0,2
2021-02-10,22:19:03,3.7063197026022303,1.449814126394052,2.8,0.0,0.0,0.0,4.6,0.0,0.0,0.0,16.2,0.4472135954999579,16.4,0.5477225575051661,39.4,1.5165750888103102,99.8,8.167006795638168,51.0,0.7071067811865476,2
2021-02-10,22:19:08,2.4384615384615387,2.923076923076923,3.6,0.0,0.0,0.0,4.6,0.0,0.0,0.0,16.6,0.5477225575051661,17.0,0.0,40.8,0.8366600265340756,96.0,0.7071067811865476,52.8,4.024922359499621,2
2021-02-10,22:19:13,1.5263157894736843,2.5789473684210527,6.8,0.0,0.0,0.0,4.6,0.0,0.0,0.0,17.0,0.7071067811865476,17.0,0.7071067811865476,42.0,0.7071067811865476,97.4,0.8944271909999159,52.0,0.0,2
2021-02-10,22:19:18,0.5730337078651685,1.1404494382022472,8.0,0.0,0.0,0.0,4.6,0.0,0.2,0.0,19.4,4.33589667773576,17.4,0.5477225575051661,41.6,0.8944271909999159,98.0,0.7071067811865476,51.8,0.4472135954999579,2
2021-02-10,22:19:23,2.5681818181818183,1.3636363636363635,8.8,0.0,0.0,0.0,4.6,0.0,0.2,0.0,16.8,0.4472135954999579,133.2,106.30239884405243,42.2,1.3038404810405297,98.4,0.5477225575051661,52.4,1.140175425099138,2
2021-02-10,22:19:28,3.0515151515151517,2.2696969696969695,9.0,0.0,0.0,0.0,4.6,0.0,0.2,0.0,17.0,0.7071067811865476,91.2,105.30527052336933,113.4,40.57462261069103,99.2,0.4472135954999579,53.0,0.7071067811865476,2
2021-02-10,22:19:33,0.9920634920634921,1.3492063492063493,9.2,0.0,0.0,0.0,4.6,0.0,0.2,0.0,16.8,0.8366600265340756,17.8,0.4472135954999579,136.0,0.0,100.4,0.5477225575051661,53.6,0.8944271909999159,2
